Name,Company,Distillation,ABV,Location,Score,nRatings,Aged,Distilled,Type,Full Name,Country,Price_unit,Popularity,Popularity_scaled,Quebec
Reserva Exclusiva,Diplomatico,Pot Still,40.0%,Venezuela,7.9,2802,,2024,Brown,Diplomatico Reserva Exclusiva,Venezuela,84.67,15.838445551164789,10.0,True
23 Solera,Ron Zacapa,Column Still (1-4),40.0%,Guatemala,7.5,2188,,2024,Brown,Ron Zacapa Centenario Sistema Solera 23 Gran Reserva,Guatemala,115.33,15.191200097522863,9.572642652654404,True
Black Spiced,Kraken,Column Still (1-4),40.0%,Trinidad and Tobago,6.0,1731,,2024,Spiced,The Kraken Black Spiced,United States,42.32,13.45703208912238,8.4276219564849,True
XO 20th Anniversary,Plantation,Pot and Column Still,40.0%,Multiple,8.4,1697,,2024,Brown,Plantation 20Th Anniversary XO Barbados,Barbados,103.57,15.837206366871293,9.999181802653753,True
12-Year,El Dorado,Pot and Column Still,40.0%,Guyana,7.6,1341,12.0,2024,Brown,El Dorado 12 ans Demerara,Guyana,60.0,14.801916317531628,9.315609895381833,True
XO Reserve,Pyrat,Pot Still,40.0%,Anguilla,6.1,1137,,2024,Brown,Pyrat X.O. Reserve,French Guiana,69.33,13.137027614686275,8.216332309621821,True
7-Year,Havana Club,,40.0%,Cuba,6.4,1011,7.0,2024,Brown,Havana Club 7 Ans,Cuba,52.33,13.319683849847411,8.336934908984043,True
Small Batch,Don Papa,,40.0%,Philippines,5.6,941,,2024,Brown,,,,12.448005274576364,7.761390899258313,False
Special Reserve 15-Year,El Dorado,,43.0%,Guyana,8.0,939,15.0,2024,Amber,El Dorado 15 Years Old Special Reserve,Guyana,94.0,14.84587987526405,9.344637753834427,True
Spiced,Sailor Jerry,,40.0%,"Virgin Islands, U.S.",5.9,898,,2024,Spiced,Sailor Jerry,United States,41.67,12.70128303447162,7.928622837314308,True
Aniversario Reserva Exclusiva,Pampero,,40.0%,Venezuela,7.1,829,,2024,Brown,,,,13.821425700790643,8.668220459565898,False
