URL,Name:,Company:,Type:,Distillation:,ABV:,Location,Score,nRatings,Price,Aged:,Distilled:
https://rumratings.com/rum/316-diplomatico-reserva-exclusiva,Reserva Exclusiva,Diplomatico,Aged,Pot Still,40.0%,Venezuela,7.9,2802,44.99,,
https://rumratings.com/rum/853-ron-zacapa-23-solera,23 Solera,Ron Zacapa,Aged,Column Still (1-4),40.0%,Guatemala,7.5,2188,53.99,,
https://rumratings.com/rum/482-kraken-black-spiced,Black Spiced,Kraken,Spiced,Column Still (1-4),40.0%,Trinidad and Tobago,6.0,1731,29.99,,
https://rumratings.com/rum/654-plantation-xo-20th-anniversary,XO 20th Anniversary,Plantation,Aged,Pot and Column Still,40.0%,Multiple,8.4,1697,49.99,,
https://rumratings.com/rum/367-el-dorado-12-year,12-Year,El Dorado,Aged,Pot and Column Still,40.0%,Guyana,7.6,1341,40.99,12.0,
https://rumratings.com/rum/671-pyrat-xo-reserve,XO Reserve,Pyrat,Gold,Pot Still,40.0%,Anguilla,6.1,1137,29.99,,
https://rumratings.com/rum/436-havana-club-7-year,7-Year,Havana Club,Aged,Unknown,40.0%,Cuba,6.4,1011,Best Price,7.0,
https://rumratings.com/rum/1052-don-papa-small-batch,Small Batch,Don Papa,Aged,Unknown,40.0%,Philippines,5.6,941,41.99,,
https://rumratings.com/rum/377-el-dorado-special-reserve-15-year,Special Reserve 15-Year,El Dorado,Aged,Unknown,43.0%,Guyana,8.0,939,58.99,15.0,
https://rumratings.com/rum/866-sailor-jerry-spiced,Spiced,Sailor Jerry,Spiced,Unknown,40.0%,"Virgin Islands, U.S.",5.9,898,34.99,,
https://rumratings.com/rum/631-pampero-aniversario-reserva-exclusiva,Aniversario Reserva Exclusiva,Pampero,Aged,Unknown,40.0%,Venezuela,7.1,829,32.99,,
https://rumratings.com/rum/854-ron-zacapa-xo,XO,Ron Zacapa,Aged,Unknown,40.0%,Guatemala,8.6,788,121.99,,
https://rumratings.com/rum/3660-bumbu-original,Original,Bumbu,Aged,Unknown,40.0%,Barbados,6.4,764,45.99,,
https://rumratings.com/rum/565-mount-gay-xo-extra-old,XO Extra Old,Mount Gay,Aged,Unknown,40.0%,Barbados,7.8,727,71.99,,
https://rumratings.com/rum/1033-bacardi-superior,Superior,Bacardi,Light,Unknown,40.0%,Puerto Rico,3.5,704,20.99,,
https://rumratings.com/rum/341-dos-maderas-px-5-5,PX 5+5,Dos Maderas,Aged,Unknown,40.0%,Barbados,7.6,685,50.95,,
https://rumratings.com/rum/870-santa-teresa-1796,1796,Santa Teresa,Aged,Unknown,40.0%,Venezuela,7.6,674,47.99,,
https://rumratings.com/rum/37-appleton-estate-extra-12-year,Extra 12-Year,Appleton Estate,Aged,Unknown,43.0%,Jamaica,7.0,662,Best Price,12.0,
https://rumratings.com/rum/532-matusalem-gran-reserva-15-year,Gran Reserva 15-Year,Matusalem,Aged,Unknown,40.0%,Dominican Republic,6.4,661,Best Price,15.0,
https://rumratings.com/rum/79-bacardi-oakheart,Oakheart,Bacardi,Spiced,Unknown,35.0%,Puerto Rico,5.4,625,Best Price,,
https://rumratings.com/rum/1030-zaya-gran-reserva-12-year,Gran Reserva 12-Year,Zaya,Aged,Column Still (5+),40.0%,Trinidad and Tobago,7.2,596,32.99,12.0,
https://rumratings.com/rum/99-barcelo-imperial,Imperial,Barcelo,Aged,Unknown,38.0%,Dominican Republic,6.8,594,33.99,,
https://rumratings.com/rum/435-havana-club-3-year,3-Year,Havana Club,Light,Unknown,40.0%,Cuba,5.5,593,Best Price,3.0,
https://rumratings.com/rum/402-flor-de-cana-12-year,12-Year,Flor de Caña,Aged,Column Still (1-4),40.0%,Nicaragua,6.9,589,42.99,12.0,
https://rumratings.com/rum/398-flor-de-cana-18-year,18-Year,Flor de CaÃ±a,Aged,Unknown,40.0%,Nicaragua,7.3,540,57.99,18.0,
https://rumratings.com/rum/3618-captain-morgan-original-spiced-gold,Original Spiced Gold,Captain Morgan,Spiced,Unknown,,Puerto Rico,4.2,527,26.99,,
https://rumratings.com/rum/520-malibu-coconut,Coconut,Malibu,Flavored,Unknown,21.0%,Canada,4.2,520,22.99,,
https://rumratings.com/rum/420-gosling-s-black-seal,Black Seal,Gosling's,Dark,Unknown,40.0%,Bermuda,6.4,516,34.99,,
https://rumratings.com/rum/24-angostura-1919-8-year,1919 8-Year,Angostura,Aged,Unknown,40.0%,Trinidad and Tobago,6.8,488,49.99,8.0,
https://rumratings.com/rum/642-plantation-barbados-5-year,Barbados 5-Year,Plantation,Aged,Unknown,40.0%,Multiple,7.1,487,Best Price,5.0,
https://rumratings.com/rum/168-captain-morgan-spiced,Spiced,Captain Morgan,Spiced,Unknown,,Puerto Rico,4.9,482,Best Price,,
https://rumratings.com/rum/74-bacardi-8,8,Bacardi,Aged,Unknown,40.0%,Puerto Rico,6.6,469,Best Price,,
https://rumratings.com/rum/2148-plantation-pineapple-stiggin-s-fancy,Pineapple Stiggin's Fancy,Plantation,Flavored,Unknown,40.0%,Multiple,7.2,462,39.99,,
https://rumratings.com/rum/563-mount-gay-eclipse,Eclipse,Mount Gay,Gold,Unknown,40.0%,Barbados,6.2,454,44.99,,
https://rumratings.com/rum/304-dictador-solera-ultra-premium-reserve-12-year,Solera Ultra Premium Reserve 12-Year,Dictador,Aged,Unknown,40.0%,Colombia,6.9,442,49.99,12.0,
https://rumratings.com/rum/143-brugal-1888,1888,Brugal,Aged,Unknown,40.0%,Dominican Republic,7.4,435,47.99,,
https://rumratings.com/rum/368-el-dorado-21-year,21-Year,El Dorado,Aged,Unknown,,Guyana,8.4,435,115.99,21.0,
https://rumratings.com/rum/1034-captain-morgan-private-stock,Private Stock,Captain Morgan,Gold,Unknown,40.0%,Puerto Rico,6.7,433,31.99,,
https://rumratings.com/rum/1217-mount-gay-black-barrel,Black Barrel,Mount Gay,Aged,Pot and Column Still,43.0%,Barbados,6.7,429,45.65,,
https://rumratings.com/rum/668-pusser-s-british-navy-blue-label-40-3-year,British Navy Blue Label 40 3-Year,Pusser's,Aged,Unknown,40.0%,"Virgin Islands, British",6.8,428,Best Price,3.0,
https://rumratings.com/rum/442-havana-club-seleccion-de-maestros,Selección de Maestros,Havana Club,Aged,Unknown,,Cuba,7.4,417,Best Price,,
https://rumratings.com/rum/805-millonario-reserva-especial-15,Reserva Especial 15,Millonario,Aged,Unknown,40.0%,Peru,7.8,417,Best Price,,
https://rumratings.com/rum/735-abuelo-gran-reserva-12-year,Gran Reserva 12-Year,Abuelo,Aged,Unknown,40.0%,Panama,7.4,409,46.99,12.0,
https://rumratings.com/rum/437-havana-club-anejo-especial,Anejo Especial,Havana Club,Gold,Unknown,40.0%,Cuba,6.0,400,Best Price,,
https://rumratings.com/rum/167-captain-morgan-dark,Dark,Captain Morgan,Dark,Unknown,40.0%,Puerto Rico,4.1,396,33.72,,
https://rumratings.com/rum/1178-kirk-and-sweeney-12-year,12-Year,Kirk and Sweeney,Aged,Unknown,40.0%,Dominican Republic,7.5,392,Best Price,12.0,
https://rumratings.com/rum/305-dictador-solera-distillery-icon-reserve-20-year,Solera Distillery Icon Reserve 20-Year,Dictador,Aged,Unknown,40.0%,Colombia,7.4,392,Best Price,20.0,
https://rumratings.com/rum/1087-legendario-elixir-de-cuba-7-year,Elixir de Cuba 7-Year,Legendario,Gold,Unknown,,Cuba,6.3,389,Best Price,7.0,
https://rumratings.com/rum/317-diplomatico-reserva,Reserva,Diplomatico,Aged,Unknown,40.0%,Venezuela,6.6,373,Best Price,,
https://rumratings.com/rum/572-myers-s-original-dark,Original Dark,Myers's,Dark,Unknown,40.0%,Jamaica,5.7,372,31.99,,
https://rumratings.com/rum/639-plantation-3-stars-artisanal,3 Stars Artisanal,Plantation,Light,Unknown,,Multiple,7.2,364,29.99,,
https://rumratings.com/rum/781-centenario-20-year,20-Year,Centenario,Aged,Unknown,40.0%,Costa Rica,8.2,364,Best Price,20.0,
https://rumratings.com/rum/806-millonario-xo,XO,Millonario,Aged,Unknown,40.0%,Peru,8.7,358,Best Price,,
https://rumratings.com/rum/833-quorhum-30-year,30-Year,Quorhum,Aged,Unknown,40.0%,Dominican Republic,9.0,357,Best Price,30.0,
https://rumratings.com/rum/409-flor-de-cana-gran-reserva-7-year,Gran Reserva 7-Year,Flor de Caña,Aged,Unknown,40.0%,Nicaragua,6.5,345,Best Price,7.0,
https://rumratings.com/rum/4262-diplomatico-mantuano,Mantuano,Diplomatico,Aged,Unknown,40.0%,Venezuela,6.5,344,,,
https://rumratings.com/rum/1029-zafra-master-reserve-21,Master Reserve 21,Zafra,Aged,Unknown,40.0%,Panama,8.2,335,54.99,,
https://rumratings.com/rum/902-smith-and-cross-traditional-jamaica-navy-strength,Traditional Jamaica Navy Strength,Smith and Cross,Aged,Pot Still,57.0%,Jamaica,7.6,333,35.99,,
https://rumratings.com/rum/38-appleton-estate-21-year,21-Year,Appleton Estate,Aged,Unknown,,Jamaica,8.3,331,149.99,21.0,
https://rumratings.com/rum/166-captain-morgan-black-spiced,Black Spiced,Captain Morgan,Spiced,Unknown,,Puerto Rico,5.9,327,29.99,,
https://rumratings.com/rum/145-brugal-anejo,AÃ±ejo,Brugal,Gold,Unknown,40.0%,Dominican Republic,5.5,321,Best Price,,
https://rumratings.com/rum/729-rl-seale-abv-43-10-year,ABV 43 10-Year,RL Seale,Aged,Pot and Column Still,43.0%,Barbados,7.7,320,Best Price,10.0,
https://rumratings.com/rum/339-doorly-s-xo-6-year,XO 6-Year,Doorly's,Aged,Pot and Column Still,43.0%,Barbados,7.1,312,Best Price,6.0,
https://rumratings.com/rum/78-bacardi-gold,Gold,Bacardi,Gold,Unknown,40.0%,Puerto Rico,4.3,301,22.99,,
https://rumratings.com/rum/2278-appleton-estate-rare-blend-12-year,Rare Blend 12-Year,Appleton Estate,Aged,Unknown,,Jamaica,7.4,299,Best Price,12.0,
https://rumratings.com/rum/2086-bacardi-carta-blanca,Carta Blanca,Bacardi,Light,Unknown,40.0%,Puerto Rico,2.8,294,22.99,,
https://rumratings.com/rum/3424-appleton-estate-signature-blend,Signature Blend,Appleton Estate,Aged,Unknown,40.0%,Jamaica,5.6,285,Best Price,,
https://rumratings.com/rum/47-appleton-estate-v-x,V/X,Appleton Estate,Gold,Unknown,40.0%,Jamaica,6.1,283,Best Price,,
https://rumratings.com/rum/2051-kirk-and-sweeney-23-year,23-Year,Kirk and Sweeney,Aged,Unknown,40.0%,Dominican Republic,8.2,282,Best Price,23.0,
https://rumratings.com/rum/372-el-dorado-8-year,8-Year,El Dorado,Aged,Unknown,40.0%,Guyana,6.8,278,Best Price,8.0,
https://rumratings.com/rum/5140-plantation-original-dark-double-aged,Original Dark Double Aged,Plantation,Aged,Unknown,40.0%,Multiple,6.8,262,Best Price,,
https://rumratings.com/rum/3735-plantation-barbados-grande-reserve,Barbados Grande Reserve,Plantation,Aged,Unknown,40.0%,Multiple,6.5,261,Best Price,,
https://rumratings.com/rum/23-angostura-1824-12-year,1824 12-Year,Angostura,Aged,Unknown,40.0%,Trinidad and Tobago,7.6,255,Best Price,12.0,
https://rumratings.com/rum/1677-doorly-s-43-abv-12-year,43 abv 12-Year,Doorly's,Aged,Pot and Column Still,43.0%,Barbados,7.9,254,Best Price,12.0,
https://rumratings.com/rum/778-cartavio-xo,XO,Cartavio,Aged,Unknown,40.0%,Peru,8.3,250,Best Price,,
https://rumratings.com/rum/313-diplomatico-ambassador-selection,Ambassador Selection,Diplomatico,Aged,Unknown,,Venezuela,9.0,248,259.99,,
https://rumratings.com/rum/7162-bumbu-xo,XO,Bumbu,Aged,Unknown,40.0%,Barbados,7.1,239,42.99,,
https://rumratings.com/rum/4102-plantation-overproof-o-f-t-d,Overproof O.F.T.D.,Plantation,Dark,Pot and Column Still,69.0%,Multiple,7.6,237,Best Price,,
https://rumratings.com/rum/91-barbancourt-5-star-reserve-especiale-8-year,5 Star Reserve Especiale 8-Year,Barbancourt,Aged,Unknown,,Haiti,6.7,236,Best Price,8.0,
