Request,Company,Name,Full Name,Type,Size,Country,Price
Diplomatico Reserva Exclusiva,Diplomatico,Reserva Exclusiva,Diplomatico Reserva Exclusiva,Brown rum,750 ml,Venezuela,63.50
Ron Zacapa 23 Solera,Ron Zacapa,23 Solera,Ron Zacapa Centenario Sistema Solera 23 Gran Reserva,Brown rum,750 ml,Guatemala,86.50
Kraken Black Spiced,Kraken,Black Spiced,The Kraken Black Spiced,Spiced rum,1.14 L,United States,48.25
Plantation XO 20th Anniversary,Plantation,XO 20th Anniversary,Plantation 20Th Anniversary XO Barbados,Brown rum,700 ml,Barbados,72.50
El Dorado 12-Year,El Dorado,12-Year,El Dorado 12 ans Demerara,Brown rum,750 ml,Guyana,45.00
Pyrat XO Reserve,Pyrat,XO Reserve,Pyrat X.O. Reserve,Brown rum,750 ml,French Guiana,52.00
Havana Club 7-Year,Havana Club,7-Year,Havana Club 7 Ans,Brown rum,750 ml,Cuba,39.25
El Dorado Special Reserve 15-Year,El Dorado,Special Reserve 15-Year,El Dorado 15 Years Old Special Reserve,Amber rum,750 ml,Guyana,70.50
Sailor Jerry Spiced,Sailor Jerry,Spiced,Sailor Jerry,Spiced rum,1.14 L,United States,47.50
Bacardi Superior,Bacardi,Superior,Bacardi Superior,White rum,375 ml,Canada,15.25
Dos Maderas PX 5+5,Dos Maderas,PX 5+5,Williams & Humbert Dos Maderas P.X. 5 + 5,Amber rum,750 ml,Spain,70.50
Santa Teresa 1796,Santa Teresa,1796,Santa Teresa 1796 Solera,Brown rum,750 ml,Venezuela,66.75
Matusalem Gran Reserva 15-Year,Matusalem,Gran Reserva 15-Year,Matusalem Gran Reserva 15 Years Old,Amber rum,750 ml,Dominican Republic,41.75
Barcelo Imperial,Barcelo,Imperial,Barcelo Imperial,Amber rum,750 ml,Dominican Republic,51.50
Havana Club 3-Year,Havana Club,3-Year,Havana Club Anejo 3 Anos,White rum,750 ml,Cuba,28.40
Flor de Caña 12-Year,Flor de Caña,12-Year,Flor de Cana Centenario 12 Ans,Amber rum,750 ml,Nicaragua,45.75
Malibu Coconut,Malibu,Coconut,Malibu,Rum and coconut liqueur,750 ml,Canada,26.85
Plantation Barbados 5-Year,Plantation,Barbados 5-Year,Plantation Barbados 5 ans Grand Terroir,Amber rum,700 ml,Barbados,38.00
Captain Morgan Spiced,Captain Morgan,Spiced,Captain Morgan Original Spiced,Spiced rum,750 ml,Canada,31.50
Bacardi 8,Bacardi,8,Bacardi 8 Years Old,Amber rum,750 ml,Puerto Rico,36.75
Plantation Pineapple Stiggin's Fancy,Plantation,Pineapple Stiggin's Fancy,Plantation Pineapple Stiggins' Fancy,Flavoured rum (pineapple),750 ml,France,42.50
Mount Gay Eclipse,Mount Gay,Eclipse,Mount Gay Eclipse,Amber rum,750 ml,Barbados,36.50
Brugal 1888,Brugal,1888,Brugal 1888 Gran Reserva Familiar,Amber rum,750 ml,Dominican Republic,50.75
El Dorado 21-Year,El Dorado,21-Year,El Dorado 12 ans Demerara,Brown rum,750 ml,Guyana,45.00
Captain Morgan Private Stock,Captain Morgan,Private Stock,Captain Morgan Private Stock,Spiced rum,750 ml,United States,35.50
Mount Gay Black Barrel,Mount Gay,Black Barrel,Mount Gay Black Barrel,Amber rum,750 ml,Barbados,40.50
Captain Morgan Dark,Captain Morgan,Dark,Captain Morgan Dark,Brown rum,1.14 L,Canada,38.75
Diplomatico Reserva,Diplomatico,Reserva,Diplomatico Reserva Exclusiva,Brown rum,750 ml,Venezuela,63.50
Flor de Caña Gran Reserva 7-Year,Flor de Caña,Gran Reserva 7-Year,Flor de Cana 7 Ans Gran Reserva,Amber rum,750 ml,Nicaragua,37.75
Diplomatico Mantuano,Diplomatico,Mantuano,Diplomatico Mantuano,Brown rum,750 ml,Venezuela,46.50
Appleton Estate 21-Year,Appleton Estate,21-Year,Appleton Estate 21 Years Old,Amber rum,750 ml,Jamaica,159.50
Captain Morgan Black Spiced,Captain Morgan,Black Spiced,Captain Morgan Black,Spiced rum,750 ml,United States,31.75
Bacardi Gold,Bacardi,Gold,Bacardi Gold,Amber rum,1.14 L,Canada,38.50
Appleton Estate V/X,Appleton Estate,V/X,Appleton Estate V/X,Amber rum,3 L,Jamaica,110.75
Kirk and Sweeney 23-Year,Kirk and Sweeney,23-Year,Kirk and Sweeney 23 ans,Brown rum,750 ml,Dominican Republic,118.25
El Dorado 8-Year,El Dorado,8-Year,El Dorado 8 Years Old,Brown rum,750 ml,Guyana,32.50
Cartavio XO,Cartavio,XO,Ron Cartavio Cartavio XO,Amber rum,750 ml,Peru,152.75
Diplomatico Ambassador Selection,Diplomatico,Ambassador Selection,Diplomatico Ambassador Selection,Brown rum,750 ml,Venezuela,343.50
Bumbu XO,Bumbu,XO,Bumbu XO,Brown rum,750 ml,Panama,73.00
Barcelo Gran Anejo,Barcelo,Gran Anejo,Barcelo Gran Anejo,Amber rum,750 ml,Dominican Republic,31.75
Bacardi Black,Bacardi,Black,Bacardi Black,Black rum,750 ml,United States,27.25
Gosling's Family Reserve Old,Gosling's,Family Reserve Old,Gosling's Family Reserve Old Rum,Brown rum,750 ml,Bermuda,94.50
Havana Club Anejo Reserva,Havana Club,Anejo Reserva,Havana Club Anejo Reserva,Brown rum,750 ml,Cuba,30.75
Plantation Xaymaca Special Dry,Plantation,Xaymaca Special Dry,Plantation Jamaïque Xaymaca Special Dry,Amber rum,700 ml,Jamaica,37.75
El Dorado 5-Year,El Dorado,5-Year,El Dorado 5 Ans,Brown rum,750 ml,Guyana,32.00
Don Q Gran Anejo,Don Q,Gran Anejo,Don Q Gran Anejo,Amber rum,750 ml,Puerto Rico,70.50
Abuelo Anejo,Abuelo,Anejo,Ron Abuelo Anejo 7 years,Amber rum,750 ml,Panama,48.75
Centenario 30-Year,Centenario,30-Year,Ron Zacapa Centenario Sistema Solera 23 Gran Reserva,Brown rum,750 ml,Guatemala,86.50
Dictador XO Insolent,Dictador,XO Insolent,Dictador XO Insolent Solera System Rum,Amber rum,750 ml,Colombia,207.00
Chairman's Reserve Spiced,Chairman's,Reserve Spiced,St-Lucia Distillers Chairman's Reserve Spiced,Spiced rum,750 ml,Saint Lucia,37.25
Captain Morgan White,Captain Morgan,White,Captain Morgan,White rum,1.14 L,Canada,34.75
Vizcaya VXOP 21,Vizcaya,VXOP 21,Vizcaya VXOP Cask No. 21,Amber rum,750 ml,Dominican Republic,104.75
Gold of Mauritius Dark,Gold of Mauritius,Dark,Gold of Mauritius,Brown rum,700 ml,Mauritius,78.00
Plantation Original Dark,Plantation,Original Dark,Plantation Original Dark,Brown rum,750 ml,France,31.50
Cruzan Single Barrel,Cruzan,Single Barrel,Cruzan Single Barrel,Amber rum,750 ml,United States,40.50
Appleton Estate Reserve 8-Year,Appleton Estate,Reserve 8-Year,Appleton Estate Reserve 8 years,Amber rum,750 ml,Jamaica,37.25
Dead Man's Fingers Spiced,Dead Man's Fingers,Spiced,Dead Man's Fingers,Spiced rum,750 ml,United Kingdom,31.25
Bacardi Limon,Bacardi,Limon,Bacardi Limon,Flavoured rum (lemon),750 ml,United States,26.80
Barcelo Anejo,Barcelo,Anejo,Barcelo Gran Anejo,Amber rum,750 ml,Dominican Republic,31.75
Appleton Estate Reserve,Appleton Estate,Reserve,Appleton Estate Reserve 8 years,Amber rum,750 ml,Jamaica,37.25
