Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
Reserva Exclusiva,Diplomatico,Aged,Pot Still,40.0%,Venezuela,7.9,2802.0,44.99,,,7.888917395542539
23 Solera,Ron Zacapa,Aged,Column Still (1-4),40.0%,Guatemala,7.5,2188.0,53.99,,,7.489540372316883
Black Spiced,Kraken,Spiced,Column Still (1-4),40.0%,Trinidad and Tobago,6.0,1731.0,29.99,,,6.004326366371426
XO 20th Anniversary,Plantation,Aged,Pot and Column Still,40.0%,Multiple,8.4,1697.0,49.99,,,8.375832923348266
12-Year,El Dorado,Aged,Pot and Column Still,40.0%,Guyana,7.6,1341.0,40.99,12.0,,7.581530950574886
XO Reserve,Pyrat,Gold,Pot Still,40.0%,Anguilla,6.1,1137.0,29.99,,,6.104779714476683
7-Year,Havana Club,Aged,,40.0%,Cuba,6.4,1011.0,,7.0,,6.399415277426173
Small Batch,Don Papa,Aged,,40.0%,Philippines,5.6,941.0,41.99,,,5.6163897564411736
Special Reserve 15-Year,El Dorado,Aged,,43.0%,Guyana,8.0,939.0,58.99,15.0,,7.965266351878067
Spiced,Sailor Jerry,Spiced,,40.0%,"Virgin Islands, U.S.",5.9,898.0,34.99,,,5.91047693335654
Aniversario Reserva Exclusiva,Pampero,Aged,,40.0%,Venezuela,7.1,829.0,32.99,,,7.0824368447035555
XO,Ron Zacapa,Aged,,40.0%,Guatemala,8.6,788.0,121.99,,,8.543600755326409
Original,Bumbu,Aged,,40.0%,Barbados,6.4,764.0,45.99,,,6.399231165971783
XO Extra Old,Mount Gay,Aged,,40.0%,Barbados,7.8,727.0,71.99,,,7.760887114398526
Superior,Bacardi,Light,,40.0%,Puerto Rico,3.5,704.0,20.99,,,3.5810347761263
PX 5+5,Dos Maderas,Aged,,40.0%,Barbados,7.6,685.0,50.95,,,7.564356560416893
1796,Santa Teresa,Aged,,40.0%,Venezuela,7.6,674.0,47.99,,,7.563791973933966
Extra 12-Year,Appleton Estate,Aged,,43.0%,Jamaica,7.0,662.0,,12.0,,6.981135779505117
Gran Reserva 15-Year,Matusalem,Aged,,40.0%,Dominican Republic,6.4,661.0,,15.0,,6.399114958252872
Oakheart,Bacardi,Spiced,,35.0%,Puerto Rico,5.4,625.0,,,,5.430750915958503
Gran Reserva 12-Year,Zaya,Aged,Column Still (5+),40.0%,Trinidad and Tobago,7.2,596.0,32.99,12.0,,7.172480911256775
Imperial,Barcelo,Aged,,38.0%,Dominican Republic,6.8,594.0,33.99,,,6.785704895673869
3-Year,Havana Club,Light,,40.0%,Cuba,5.5,593.0,,3.0,,5.529021187960388
12-Year,Flor de Caña,Aged,Column Still (1-4),40.0%,Nicaragua,6.9,589.0,42.99,12.0,,6.882231921435189
18-Year,Flor de CaÃ±a,Aged,,40.0%,Nicaragua,7.3,540.0,57.99,18.0,,7.266082135810356
Original Spiced Gold,Captain Morgan,Spiced,,,Puerto Rico,4.2,527.0,26.99,,,4.281084502157002
Coconut,Malibu,Flavored,,21.0%,Canada,4.2,520.0,22.99,,,4.282134719782352
Black Seal,Gosling's,Dark,,40.0%,Bermuda,6.4,516.0,34.99,,,6.398875736080152
1919 8-Year,Angostura,Aged,,40.0%,Trinidad and Tobago,6.8,488.0,49.99,8.0,,6.782724706693073
Barbados 5-Year,Plantation,Aged,,40.0%,Multiple,7.1,487.0,,5.0,,7.070600046323165
Spiced,Captain Morgan,Spiced,,,Puerto Rico,4.9,482.0,,,,4.959854326209111
8,Bacardi,Aged,,40.0%,Puerto Rico,6.6,469.0,,,,6.590410937558257
Pineapple Stiggin's Fancy,Plantation,Flavored,,40.0%,Multiple,7.2,462.0,39.99,,,7.164837533277035
Eclipse,Mount Gay,Gold,,40.0%,Barbados,6.2,454.0,44.99,,,6.207349865823735
Solera Ultra Premium Reserve 12-Year,Dictador,Aged,,40.0%,Colombia,6.9,442.0,49.99,12.0,,6.87658395944411
1888,Brugal,Aged,,40.0%,Dominican Republic,7.4,435.0,47.99,,,7.353772348583535
21-Year,El Dorado,Aged,,,Guyana,8.4,435.0,115.99,21.0,,8.308868906440015
Private Stock,Captain Morgan,Gold,,40.0%,Puerto Rico,6.7,433.0,31.99,,,6.685139501943576
Black Barrel,Mount Gay,Aged,Pot and Column Still,43.0%,Barbados,6.7,429.0,45.65,,,6.685007247374685
British Navy Blue Label 40 3-Year,Pusser's,Aged,,40.0%,"Virgin Islands, British",6.8,428.0,,3.0,,6.780413379859687
Selección de Maestros,Havana Club,Aged,,,Cuba,7.4,417.0,,,,7.351870199330439
Reserva Especial 15,Millonario,Aged,,40.0%,Peru,7.8,417.0,,,,7.733169757897456
Gran Reserva 12-Year,Abuelo,Aged,,40.0%,Panama,7.4,409.0,46.99,12.0,,7.350973617165796
Anejo Especial,Havana Club,Gold,,40.0%,Cuba,6.0,400.0,,,,6.018022109955579
Dark,Captain Morgan,Dark,,40.0%,Puerto Rico,4.1,396.0,33.72,,,4.2115015090153
12-Year,Kirk and Sweeney,Aged,,40.0%,Dominican Republic,7.5,392.0,,12.0,,7.4439944137131295
Solera Distillery Icon Reserve 20-Year,Dictador,Aged,,40.0%,Colombia,7.4,392.0,,20.0,,7.348952897525961
Elixir de Cuba 7-Year,Legendario,Gold,,,Cuba,6.3,389.0,,7.0,,6.303521835840933
Reserva,Diplomatico,Aged,,40.0%,Venezuela,6.6,373.0,,,,6.588071258115781
Original Dark,Myers's,Dark,,40.0%,Jamaica,5.7,372.0,31.99,,,5.734941453313847
20-Year,Centenario,Aged,,40.0%,Costa Rica,8.2,364.0,,20.0,,8.102678158927867
3 Stars Artisanal,Plantation,Light,,,Multiple,7.2,364.0,29.99,,,7.155874313626067
XO,Millonario,Aged,,40.0%,Peru,8.7,358.0,,,,8.574115444526242
30-Year,Quorhum,Aged,,40.0%,Dominican Republic,9.0,357.0,,30.0,,8.857527122314623
Gran Reserva 7-Year,Flor de Caña,Aged,,40.0%,Nicaragua,6.5,345.0,,7.0,,6.492753491646948
Mantuano,Diplomatico,Aged,,40.0%,Venezuela,6.5,344.0,,,,6.492733608310805
Master Reserve 21,Zafra,Aged,,40.0%,Panama,8.2,335.0,54.99,,,8.094738018794594
Traditional Jamaica Navy Strength,Smith and Cross,Aged,Pot Still,57.0%,Jamaica,7.6,333.0,35.99,,,7.52885947898746
21-Year,Appleton Estate,Aged,,,Jamaica,8.3,331.0,149.99,21.0,,8.187720884550332
Black Spiced,Captain Morgan,Spiced,,,Puerto Rico,5.9,327.0,29.99,,,5.927694679803191
AÃ±ejo,Brugal,Gold,,40.0%,Dominican Republic,5.5,321.0,,,,5.552139455111442
ABV 43 10-Year,RL Seale,Aged,Pot and Column Still,43.0%,Barbados,7.7,320.0,,10.0,,7.620135882557666
XO 6-Year,Doorly's,Aged,Pot and Column Still,43.0%,Barbados,7.1,312.0,,6.0,,7.055124121309374
Gold,Bacardi,Gold,,40.0%,Puerto Rico,4.3,301.0,22.99,,,4.431729693457672
Rare Blend 12-Year,Appleton Estate,Aged,,,Jamaica,7.4,299.0,,12.0,,7.334091852834022
Carta Blanca,Bacardi,Light,,40.0%,Puerto Rico,2.8,294.0,22.99,,,3.0322193509131457
Signature Blend,Appleton Estate,Aged,,40.0%,Jamaica,5.6,285.0,,,,5.651589079800711
V/X,Appleton Estate,Gold,,40.0%,Jamaica,6.1,283.0,,,,6.118231216332484
23-Year,Kirk and Sweeney,Aged,,40.0%,Dominican Republic,8.2,282.0,,23.0,,8.076292456142744
8-Year,El Dorado,Aged,,40.0%,Guyana,6.8,278.0,,8.0,,6.770569252189563
Original Dark Double Aged,Plantation,Aged,,40.0%,Multiple,6.8,262.0,,,,6.768902090768522
Barbados Grande Reserve,Plantation,Aged,,40.0%,Multiple,6.5,261.0,,,,6.490590749349307
1824 12-Year,Angostura,Aged,,40.0%,Trinidad and Tobago,7.6,255.0,,12.0,,7.508714502423397
43 abv 12-Year,Doorly's,Aged,Pot and Column Still,43.0%,Barbados,7.9,254.0,,12.0,,7.786026744970274
XO,Cartavio,Aged,,40.0%,Peru,8.3,250.0,,,,8.15409336175239
Ambassador Selection,Diplomatico,Aged,,,Venezuela,9.0,248.0,259.99,,,8.799678485395726
XO,Bumbu,Aged,,40.0%,Barbados,7.1,239.0,42.99,,,7.042497710367169
Overproof O.F.T.D.,Plantation,Dark,Pot and Column Still,69.0%,Multiple,7.6,237.0,,,,7.502332174004138
5 Star Reserve Especiale 8-Year,Barbancourt,Aged,,,Haiti,6.7,236.0,,8.0,,6.67372401001424
White Overproof,Wray & Nephew,Light,,,Jamaica,6.6,234.0,31.99,,,6.581554903474527
Reserva Superior 7-Year,Abuelo,Aged,,40.0%,Panama,6.9,234.0,,7.0,,6.8574426313692785
Gran Anejo,Barcelo,Aged,,37.5%,Dominican Republic,6.1,231.0,,,,6.122001422040422
Extra Anejo,La Hechicera,Aged,,40.0%,Colombia,7.6,230.0,,,,7.49960240301438
Black,Bacardi,Dark,,40.0%,Puerto Rico,4.0,228.0,,,,4.195129101415381
18-Year,Kirk and Sweeney,Aged,,40.0%,Dominican Republic,8.0,228.0,43.99,18.0,,7.865868117382193
Family Reserve Old,Gosling's,Aged,,40.0%,Bermuda,7.7,228.0,84.99,,,7.590562691184682
Dark 24-Year,Papas Pilar,Aged,,,United States,7.6,224.0,43.99,24.0,,7.497138167799938
Gran Reserva 23-Year,Matusalem,Aged,,40.0%,Dominican Republic,7.2,211.0,,23.0,,7.126705200877764
Anejo Reserva,Havana Club,Gold,,40.0%,Cuba,6.3,210.0,,,,6.3062573748743675
VSOP 4-Year,Clement,Agricole,Column Still (1-4),40.0%,Martinique,6.6,209.0,,4.0,,6.579545207527285
Solera 1893 18-Year,Botran,Aged,,40.0%,Guatemala,7.0,208.0,,18.0,,6.943647024203612
25-Year,Centenario,Aged,,,Costa Rica,8.7,201.0,,25.0,,8.484868407803397
XO 15-Year,Ron de Jeremy,Aged,,40.0%,Panama,7.2,195.0,,15.0,,7.121262130407895
Xaymaca Special Dry,Plantation,Aged,,,Multiple,6.7,190.0,,,,6.667980660591659
Gunpowder Proof 3-Year,Pusser's,Aged,,54.5%,"Virgin Islands, British",7.1,189.0,40.99,3.0,,7.028770824763296
Spiced,Rumbullion,Spiced,,,Multiple,7.5,188.0,,,,7.389184787590028
Solera Reserva 15-Year,Botran,Aged,,40.0%,Guatemala,6.8,188.0,,15.0,,6.757862366268523
XO,Kaniche,Aged,,40.0%,Barbados,7.7,186.0,,,,7.568299008440523
5-Year,El Dorado,Gold,,40.0%,Guyana,6.2,186.0,,5.0,,6.216890923352052
Non Plus Ultra Very Rare,A. H. Riise,Aged,,,Denmark,7.9,185.0,,,,7.7477492877300165
5-Year,English Harbour,Aged,Column Still (1-4),40.0%,Antigua and Barbuda,6.5,183.0,,5.0,,6.486983392535685
Extra Viejo Gran Reserva,Brugal,Aged,,,Dominican Republic,5.9,183.0,38.99,,,5.947296585779733
Extra Old 12-Year,Admiral Rodney,Aged,,40.0%,Saint Lucia,7.7,183.0,,12.0,,7.566357006047591
Extraroma 12-Year,Arcane,Aged,,,Mauritius,6.9,182.0,,12.0,,6.846511692358873
25-Year,Flor de CaÃ±a,Aged,,40.0%,Nicaragua,8.5,177.0,155.99,25.0,,8.279434705803837
Gran Anejo,Don Q,Aged,,40.0%,Puerto Rico,7.4,173.0,,,,7.291164122985991
Single Blended 12-Year,Real McCoy,Aged,Pot and Column Still,40.0%,Barbados,7.6,172.0,,12.0,,7.469345087839256
XO,Ron Esclavo,Aged,,40.0%,Dominican Republic,8.3,172.0,,,,8.094957799364344
Anejo,Abuelo,Gold,,40.0%,Panama,6.2,171.0,,,,6.218214308501123
